!MOLECULE
E-CH3OH
!MOLECULAR WEIGHT
32.0
!NUMBER OF ENERGY LEVELS
100
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J, K
178   30   21      5.091e-05      241.904152	 60.7
179   30   27      8.012e-09      266.496184	 60.7
180   30   20      2.724e-10      318.072333	 60.7
181   30   19      1.110e-07      343.005812	 60.7
182   30   26      4.267e-04      423.675155	 60.7
183   30   18      2.777e-08      508.196352	 60.7
184   30   17      1.266e-03      665.442450	 60.7
185   31   41      4.674e-11      164.074257	 82.5
186   31   40      1.441e-05      240.241502	 82.5
187   31   22      3.872e-05      241.843646	 82.5
188   31   39      1.975e-08      265.259625	 82.5
189   31   38      5.082e-08      430.938349	 82.5
190   31   30      1.985e-09      454.381551	 82.5
191   31   29      7.046e-04      530.549271	 82.5
192   31   28      5.986e-07      555.508325	 82.5
193   31   21      1.429e-09      696.285709	 82.5
194   31   27      5.153e-07      720.877735	 82.5
195   31   20      2.705e-03      772.453803	 82.5
196   31   19      1.395e-06      797.387363	 82.5
197   31   18      6.606e-07      962.577903	 82.5
198   32   23      3.888e-05      241.852352	 97.5
199   32   41      1.070e-04      476.600759	 97.5
200   32   40      1.787e-09      552.768135	 97.5
201   32   38      2.609e-07      743.464982	 97.5
202   32   30      1.958e-03      766.908184	 97.5
203   32   29      1.268e-08      843.075873	 97.5
204   32   37      3.864e-09      900.513568	 97.5
205   33   43      6.347e-06      234.698450	122.7
206   33   24      2.169e-05      241.813257	122.7
207   33   32      4.623e-04      524.908133	122.7
208   33   23      3.129e-03      766.760462	122.7
209   34   25      2.184e-05      241.829646	130.8
210   34   42      1.852e-04      715.898006	130.8
211   35   44      1.731e-05      462.241686	158.8
212   35   33      8.230e-04      752.404004	158.8
213   35   24      9.270e-03      994.217252	158.8
214   36   45      2.598e-05      544.820472	170.9
215   36   34      1.018e-03      835.003761	170.9
216   37   27      7.748e-06      132.890790	 54.3
217   37   26      1.031e-04      290.069824	 54.3
218   38   30      2.307e-12       23.443202	 61.8
219   38   29      1.770e-10       99.610891	 61.8
220   38   28      4.152e-06      124.569970	 61.8
221   38   37      1.964e-05      157.048620	 61.8
222   38   27      1.058e-04      289.939477	 61.8
223   38   26      2.196e-04      447.118400	 61.8
